Results of experiments stored in: ./experiments/CartPole-v1_9

Episode: 11505, exploration: 0.9930641301465524, score: 18.0
Scores: (min: 9.0, avg: 22.56, max: 66.0)

Episode: 11506, exploration: 0.9930343385205663, score: 15.0
Scores: (min: 9.0, avg: 22.58, max: 66.0)

Episode: 11507, exploration: 0.9930045477883203, score: 15.0
Scores: (min: 9.0, avg: 22.53, max: 66.0)

Episode: 11508, exploration: 0.992974757949787, score: 19.0
Scores: (min: 9.0, avg: 22.12, max: 66.0)

Episode: 11509, exploration: 0.9928655361876104, score: 52.0
Scores: (min: 9.0, avg: 22.52, max: 66.0)

Episode: 11510, exploration: 0.9928258221618784, score: 20.0
Scores: (min: 9.0, avg: 22.59, max: 66.0)

Episode: 11511, exploration: 0.9927861097246837, score: 19.0
Scores: (min: 9.0, avg: 22.58, max: 66.0)

Episode: 11512, exploration: 0.992756326439227, score: 16.0
Scores: (min: 9.0, avg: 22.41, max: 66.0)

Episode: 11513, exploration: 0.9927364714119739, score: 13.0
Scores: (min: 9.0, avg: 22.36, max: 66.0)

Episode: 11514, exploration: 0.9926967625487555, score: 16.0
Scores: (min: 9.0, avg: 22.36, max: 66.0)

Episode: 11515, exploration: 0.9926669819436872, score: 18.0
Scores: (min: 9.0, avg: 22.38, max: 66.0)

Episode: 11516, exploration: 0.992627275860006, score: 19.0
Scores: (min: 9.0, avg: 22.28, max: 66.0)

Episode: 11517, exploration: 0.9925974973395175, score: 13.0
Scores: (min: 9.0, avg: 22.2, max: 66.0)

Episode: 11518, exploration: 0.9925577940351786, score: 24.0
Scores: (min: 9.0, avg: 22.33, max: 66.0)

Episode: 11519, exploration: 0.9925081671380249, score: 22.0
Scores: (min: 9.0, avg: 22.4, max: 66.0)

Episode: 11520, exploration: 0.9924684674068407, score: 22.0
Scores: (min: 9.0, avg: 22.33, max: 66.0)

Episode: 11521, exploration: 0.9923890727083047, score: 38.0
Scores: (min: 9.0, avg: 22.55, max: 66.0)

Episode: 11522, exploration: 0.9923593013338393, score: 14.0
Scores: (min: 9.0, avg: 22.08, max: 66.0)

Episode: 11523, exploration: 0.9923295308525062, score: 18.0
Scores: (min: 9.0, avg: 21.99, max: 66.0)

Episode: 11524, exploration: 0.9922898382666661, score: 18.0
Scores: (min: 9.0, avg: 22.02, max: 66.0)

Episode: 11525, exploration: 0.9922699925691297, score: 11.0
Scores: (min: 9.0, avg: 21.95, max: 66.0)

Episode: 11526, exploration: 0.9922402247670328, score: 13.0
Scores: (min: 9.0, avg: 21.97, max: 66.0)

Episode: 11527, exploration: 0.9922104578579609, score: 17.0
Scores: (min: 9.0, avg: 21.85, max: 66.0)

Episode: 11528, exploration: 0.9921906137480249, score: 11.0
Scores: (min: 9.0, avg: 21.83, max: 66.0)

Episode: 11529, exploration: 0.9921608483272687, score: 14.0
Scores: (min: 9.0, avg: 21.81, max: 66.0)

Episode: 11530, exploration: 0.9920814782373977, score: 41.0
Scores: (min: 9.0, avg: 21.87, max: 66.0)

Episode: 11531, exploration: 0.9920517160906741, score: 14.0
Scores: (min: 9.0, avg: 21.88, max: 66.0)

Episode: 11532, exploration: 0.9920219548368061, score: 13.0
Scores: (min: 9.0, avg: 21.89, max: 66.0)

Episode: 11533, exploration: 0.9919723547310764, score: 28.0
Scores: (min: 9.0, avg: 21.64, max: 66.0)

Episode: 11534, exploration: 0.9919425958580252, score: 14.0
Scores: (min: 9.0, avg: 21.58, max: 66.0)

Episode: 11535, exploration: 0.9919128378777314, score: 17.0
Scores: (min: 9.0, avg: 21.57, max: 66.0)

Episode: 11536, exploration: 0.9918533245953084, score: 29.0
Scores: (min: 9.0, avg: 21.68, max: 66.0)

Episode: 11537, exploration: 0.9918037329209223, score: 24.0
Scores: (min: 9.0, avg: 21.71, max: 66.0)

Episode: 11538, exploration: 0.9917739791064749, score: 16.0
Scores: (min: 9.0, avg: 21.75, max: 66.0)

Episode: 11539, exploration: 0.9917541437260703, score: 11.0
Model Saved
Scores: (min: 9.0, avg: 21.57, max: 66.0)

Episode: 11540, exploration: 0.99171447415537, score: 16.0
Scores: (min: 9.0, avg: 21.62, max: 66.0)

Episode: 11541, exploration: 0.9916946399650584, score: 10.0
Scores: (min: 9.0, avg: 21.43, max: 66.0)

Episode: 11542, exploration: 0.9916748061714286, score: 11.0
Scores: (min: 9.0, avg: 20.97, max: 66.0)

Episode: 11543, exploration: 0.9915756431532293, score: 50.0
Scores: (min: 9.0, avg: 21.27, max: 66.0)

Episode: 11544, exploration: 0.9915260653626375, score: 24.0
Scores: (min: 9.0, avg: 21.25, max: 66.0)

Episode: 11545, exploration: 0.9914963198781337, score: 15.0
Scores: (min: 9.0, avg: 21.28, max: 66.0)

Episode: 11546, exploration: 0.9914764900508859, score: 13.0
Scores: (min: 9.0, avg: 21.15, max: 66.0)

Episode: 11547, exploration: 0.991436831586166, score: 18.0
Scores: (min: 9.0, avg: 21.16, max: 66.0)

Episode: 11548, exploration: 0.9914170029486781, score: 12.0
Scores: (min: 9.0, avg: 21.17, max: 66.0)

Episode: 11549, exploration: 0.991357519415607, score: 31.0
Scores: (min: 9.0, avg: 21.28, max: 66.0)

Episode: 11550, exploration: 0.9913178657096411, score: 16.0
Scores: (min: 9.0, avg: 21.35, max: 66.0)

Episode: 11551, exploration: 0.9912881264710643, score: 18.0
Scores: (min: 9.0, avg: 21.43, max: 66.0)

Episode: 11552, exploration: 0.9912583881246559, score: 16.0
Scores: (min: 9.0, avg: 21.31, max: 66.0)

Episode: 11553, exploration: 0.9912385630560194, score: 10.0
Scores: (min: 9.0, avg: 21.31, max: 66.0)

Episode: 11554, exploration: 0.9911989141082365, score: 18.0
Scores: (min: 9.0, avg: 21.18, max: 66.0)

Episode: 11555, exploration: 0.9911196209704097, score: 40.0
Scores: (min: 9.0, avg: 21.09, max: 66.0)

Episode: 11556, exploration: 0.9910997986771024, score: 9.0
Scores: (min: 9.0, avg: 20.85, max: 66.0)

Episode: 11557, exploration: 0.9910304237724702, score: 35.0
Scores: (min: 9.0, avg: 21.03, max: 66.0)

Episode: 11558, exploration: 0.9909610537239356, score: 34.0
Scores: (min: 9.0, avg: 20.71, max: 56.0)

Episode: 11559, exploration: 0.9909412346019574, score: 11.0
Scores: (min: 9.0, avg: 20.65, max: 56.0)

Episode: 11560, exploration: 0.9908619620777697, score: 42.0
Scores: (min: 9.0, avg: 20.96, max: 56.0)

Episode: 11561, exploration: 0.9908421449376145, score: 10.0
Scores: (min: 9.0, avg: 20.86, max: 56.0)

Episode: 11562, exploration: 0.9907926038212, score: 23.0
Scores: (min: 9.0, avg: 20.69, max: 56.0)

Episode: 11563, exploration: 0.9907628803403223, score: 15.0
Scores: (min: 9.0, avg: 20.66, max: 56.0)

