Results of experiments stored in: ./experiments/CartPole-v1_16

Scores: (min: 10.0, avg: 22.86, max: 70.0)

Episode: 101 (22446), exploration: 0.8671721050766283, score: 10.0
Scores: (min: 10.0, avg: 22.74, max: 70.0)

Episode: 102 (22447), exploration: 0.8665218885790411, score: 13.0
Scores: (min: 10.0, avg: 22.47, max: 70.0)

Episode: 103 (22448), exploration: 0.8656556915820162, score: 15.0
Scores: (min: 10.0, avg: 22.51, max: 70.0)

Episode: 104 (22449), exploration: 0.8643580193263876, score: 25.0
Scores: (min: 10.0, avg: 22.64, max: 70.0)

Episode: 105 (22450), exploration: 0.862630815158192, score: 34.0
Scores: (min: 10.0, avg: 22.85, max: 70.0)

Episode: 106 (22451), exploration: 0.8617685077756785, score: 16.0
Scores: (min: 10.0, avg: 22.81, max: 70.0)

Episode: 107 (22452), exploration: 0.860476662652739, score: 22.0
Scores: (min: 10.0, avg: 22.91, max: 70.0)

Episode: 108 (22453), exploration: 0.8596165086150583, score: 15.0
Scores: (min: 10.0, avg: 22.74, max: 70.0)

Episode: 109 (22454), exploration: 0.858971957398261, score: 13.0
Scores: (min: 10.0, avg: 22.57, max: 70.0)

Episode: 110 (22455), exploration: 0.8568269417535278, score: 41.0
Scores: (min: 10.0, avg: 22.85, max: 70.0)

Episode: 111 (22456), exploration: 0.855756443459312, score: 20.0
Scores: (min: 10.0, avg: 22.82, max: 70.0)

Episode: 112 (22457), exploration: 0.8536194575618198, score: 38.0
Scores: (min: 10.0, avg: 23.07, max: 70.0)

Episode: 113 (22458), exploration: 0.8529794030089589, score: 13.0
Scores: (min: 10.0, avg: 23.01, max: 70.0)

Episode: 114 (22459), exploration: 0.850636639569394, score: 45.0
Scores: (min: 10.0, avg: 23.28, max: 70.0)

Episode: 115 (22460), exploration: 0.8491491414456614, score: 28.0
Scores: (min: 10.0, avg: 23.33, max: 70.0)

Episode: 116 (22461), exploration: 0.8476642444921175, score: 28.0
Scores: (min: 10.0, avg: 23.46, max: 70.0)

Episode: 117 (22462), exploration: 0.8466051938442242, score: 21.0
Scores: (min: 10.0, avg: 23.25, max: 70.0)

Episode: 118 (22463), exploration: 0.8438578503836472, score: 49.0
Scores: (min: 10.0, avg: 23.45, max: 70.0)

Episode: 119 (22464), exploration: 0.8423822062475352, score: 30.0
Scores: (min: 10.0, avg: 23.59, max: 70.0)

Episode: 120 (22465), exploration: 0.8409091425526852, score: 26.0
Scores: (min: 10.0, avg: 23.66, max: 70.0)

Episode: 121 (22466), exploration: 0.8396485669284426, score: 24.0
